pais,año,indice_quiebras_eurostat
Belgium,2015,100.0
Belgium,2016,83.9
Belgium,2017,87.8
Belgium,2018,82.1
Belgium,2019,91.1
Belgium,2020,59.8
Belgium,2021,56.9
Belgium,2022,85.2
Belgium,2023,93.9
Bulgaria,2015,100.0
Bulgaria,2016,81.3
Bulgaria,2017,92.0
Bulgaria,2018,72.2
Bulgaria,2019,77.6
Bulgaria,2020,72.2
Bulgaria,2021,58.2
Bulgaria,2022,85.3
Bulgaria,2023,54.8
Cyprus,2015,100.0
Cyprus,2016,23.5
Cyprus,2017,23.5
Cyprus,2018,5.9
Cyprus,2019,35.3
Cyprus,2020,29.4
Cyprus,2021,23.5
Cyprus,2022,0.0
Cyprus,2023,11.8
Germany,2015,100.0
Germany,2016,91.2
Germany,2017,91.6
Germany,2018,80.0
Germany,2019,84.1
Germany,2020,77.7
Germany,2021,55.7
Germany,2022,62.1
Germany,2023,74.5
Denmark,2015,100.0
Denmark,2016,117.1
Denmark,2017,115.4
Denmark,2018,125.2
Denmark,2019,158.9
Denmark,2020,105.7
Denmark,2021,142.7
Denmark,2022,142.7
Denmark,2023,135.8
Euro area - 19 countries  (2015-2022),2015,100.0
Euro area - 19 countries  (2015-2022),2016,89.5
Euro area - 19 countries  (2015-2022),2017,88.7
Euro area - 19 countries  (2015-2022),2018,98.7
Euro area - 19 countries  (2015-2022),2019,104.6
Euro area - 19 countries  (2015-2022),2020,78.9
Euro area - 19 countries  (2015-2022),2021,70.1
Euro area - 19 countries  (2015-2022),2022,76.0
Euro area - 19 countries  (2015-2022),2023,87.8
Euro area – 20 countries (2023-2025),2015,100.0
Euro area – 20 countries (2023-2025),2016,92.7
Euro area – 20 countries (2023-2025),2017,90.6
Euro area – 20 countries (2023-2025),2018,99.6
Euro area – 20 countries (2023-2025),2019,105.0
Euro area – 20 countries (2023-2025),2020,79.1
Euro area – 20 countries (2023-2025),2021,70.6
Euro area – 20 countries (2023-2025),2022,76.7
Euro area – 20 countries (2023-2025),2023,88.0
Estonia,2015,100.0
Estonia,2016,122.7
Estonia,2017,104.5
Estonia,2018,77.3
Estonia,2019,100.0
Estonia,2020,140.9
Estonia,2021,59.1
Estonia,2022,95.5
Estonia,2023,159.1
Spain,2015,100.0
Spain,2016,79.2
Spain,2017,86.4
Spain,2018,85.8
Spain,2019,95.5
Spain,2020,79.2
Spain,2021,109.7
Spain,2022,142.8
Spain,2023,133.4
European Union - 27 countries (from 2020),2015,100.0
European Union - 27 countries (from 2020),2016,88.6
European Union - 27 countries (from 2020),2017,84.9
European Union - 27 countries (from 2020),2018,93.6
European Union - 27 countries (from 2020),2019,97.9
European Union - 27 countries (from 2020),2020,75.6
European Union - 27 countries (from 2020),2021,68.6
European Union - 27 countries (from 2020),2022,72.1
European Union - 27 countries (from 2020),2023,82.8
France,2015,100.0
France,2016,90.5
France,2017,85.4
